2330,19.22,,,,
2317,4.98,,,,
6505,3.53,,,,
2412,2.6,,,,
2882,2.16,,,,
1301,1.93,,,,
1303,1.91,,,,
1326,1.88,,,,
3008,1.7,,,,
2881,1.65,,,,
2454,1.47,,,,
2891,1.26,,,,
2002,1.21,,,,
1216,1.18,,,,
3045,1.15,,,,
2308,1.13,,,,
2311,1.05,,,,
2886,1.05,,,,
2912,0.91,,,,
2474,0.8,,,,
2408,0.76,,,,
4904,0.76,,,,
2892,0.74,,,,
2382,0.74,,,,
5880,0.64,,,,
2357,0.62,,,,
2884,0.61,,,,
2207,0.59,,,,
2880,0.59,,,,
4938,0.58,,,,
2303,0.57,,,,
2105,0.52,,,,
2885,0.51,,,,
1101,0.49,,,,
2801,0.49,,,,
2325,0.48,,,,
2883,0.47,,,,
2395,0.46,,,,
1402,0.44,,,,
2887,0.44,,,,
2327,0.44,,,,
3481,0.38,,,,
2354,0.37,,,,
2409,0.37,,,,
5871,0.37,,,,
2823,0.35,,,,
9904,0.35,,,,
2888,0.33,,,,
2890,0.33,,,,
1590,0.31,,,,
